# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig18CorrFunc_34_1_3ptAssoc_1
LegendOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig18CorrFunc_34_1_3ptAssoc_1
# END PLOT

# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig18CorrFunc_34_1_3ptAssoc_1
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig18CorrFunc_34_1_3ptAssoc_1
ScaledBy=1.01359504828322757e-04
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.570796e+00	-1.385997e+00	2.609617e+00	3.860961e+00	3.860961e+00
-1.385997e+00	-1.201197e+00	5.786921e+00	4.174690e+00	4.174690e+00
-1.201197e+00	-1.016398e+00	5.961942e-01	3.683103e+00	3.683103e+00
-1.016398e+00	-8.315981e-01	8.686314e+00	4.419487e+00	4.419487e+00
-8.315981e-01	-6.467985e-01	1.249344e+01	4.736682e+00	4.736682e+00
-6.467985e-01	-4.619989e-01	1.024478e+01	4.554824e+00	4.554824e+00
-4.619989e-01	-2.771994e-01	1.152832e+01	4.641933e+00	4.641933e+00
-2.771994e-01	-9.239978e-02	7.500438e+00	4.343880e+00	4.343880e+00
-9.239978e-02	9.239978e-02	9.911593e+00	4.500307e+00	4.500307e+00
9.239978e-02	2.771994e-01	1.156446e+01	4.648604e+00	4.648604e+00
2.771994e-01	4.619989e-01	1.031864e+01	4.566466e+00	4.566466e+00
4.619989e-01	6.467985e-01	6.973559e+00	4.253113e+00	4.253113e+00
6.467985e-01	8.315981e-01	1.073466e+01	4.573463e+00	4.573463e+00
8.315981e-01	1.016398e+00	8.472239e+00	4.383328e+00	4.383328e+00
1.016398e+00	1.201197e+00	6.484461e+00	4.231933e+00	4.231933e+00
1.201197e+00	1.385997e+00	1.212512e+01	4.677915e+00	4.677915e+00
1.385997e+00	1.570796e+00	2.780327e+00	3.893609e+00	3.893609e+00
1.570796e+00	1.755596e+00	7.870595e+00	4.344049e+00	4.344049e+00
1.755596e+00	1.940395e+00	3.618792e+00	3.981710e+00	3.981710e+00
1.940395e+00	2.125195e+00	8.442900e+00	4.378249e+00	4.378249e+00
2.125195e+00	2.309995e+00	1.442030e+01	4.862143e+00	4.862143e+00
2.309995e+00	2.494794e+00	1.968135e+01	5.253484e+00	5.253484e+00
2.494794e+00	2.679594e+00	1.006800e+01	4.525572e+00	4.525572e+00
2.679594e+00	2.864393e+00	8.218129e+00	4.402947e+00	4.402947e+00
2.864393e+00	3.049193e+00	8.060758e+00	4.376150e+00	4.376150e+00
3.049193e+00	3.233992e+00	0.000000e+00	-nan	-nan
3.233992e+00	3.418792e+00	9.140996e+00	4.433398e+00	4.433398e+00
3.418792e+00	3.603592e+00	1.077379e+01	4.579922e+00	4.579922e+00
3.603592e+00	3.788391e+00	1.216783e+01	4.684691e+00	4.684691e+00
3.788391e+00	3.973191e+00	6.365038e+00	4.210774e+00	4.210774e+00
3.973191e+00	4.157990e+00	9.231608e+00	4.448637e+00	4.448637e+00
4.157990e+00	4.342790e+00	1.286170e+01	4.735761e+00	4.735761e+00
4.342790e+00	4.527589e+00	3.575504e+00	3.973446e+00	3.973446e+00
4.527589e+00	4.712389e+00	3.978894e+00	3.980128e+00	3.980128e+00
# END HISTO1D

