# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig12CorrFunc_AuAu_24_1_1ptAssoc_2
LegendOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig12CorrFunc_AuAu_24_1_1ptAssoc_2
# END PLOT

# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig12CorrFunc_AuAu_24_1_1ptAssoc_2
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig12CorrFunc_AuAu_24_1_1ptAssoc_2
ScaledBy=9.19031547598297521e-06
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.570796e+00	-1.396263e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.396263e+00	-1.221730e+00	7.139813e-01	3.235504e-01	3.235504e-01
-1.221730e+00	-1.047198e+00	7.198651e-02	3.725655e-02	3.725655e-02
-1.047198e+00	-8.726646e-01	5.642910e-01	2.612160e-01	2.612160e-01
-8.726646e-01	-6.981317e-01	2.608649e-01	1.285556e-01	1.285556e-01
-6.981317e-01	-5.235988e-01	9.522182e-01	4.210149e-01	4.210149e-01
-5.235988e-01	-3.490659e-01	3.895811e-01	1.852827e-01	1.852827e-01
-3.490659e-01	-1.745329e-01	9.710147e-01	4.293253e-01	4.293253e-01
-1.745329e-01	0.000000e+00	8.791712e-01	3.916139e-01	3.916139e-01
0.000000e+00	1.745329e-01	4.546879e-01	2.131610e-01	2.131610e-01
1.745329e-01	3.490659e-01	7.305008e-01	3.310362e-01	3.310362e-01
3.490659e-01	5.235988e-01	7.026188e-01	3.184010e-01	3.184010e-01
5.235988e-01	6.981317e-01	1.019665e+00	4.477911e-01	4.477911e-01
6.981317e-01	8.726646e-01	5.415100e-01	2.506704e-01	2.506704e-01
8.726646e-01	1.047198e+00	4.641873e-01	2.176143e-01	2.176143e-01
1.047198e+00	1.221730e+00	6.511316e-01	2.980474e-01	2.980474e-01
1.221730e+00	1.396263e+00	3.986201e-01	1.895817e-01	1.895817e-01
1.396263e+00	1.570796e+00	4.067780e-01	1.934615e-01	1.934615e-01
1.570796e+00	1.745329e+00	1.571648e-01	7.920358e-02	7.920358e-02
1.745329e+00	1.919862e+00	6.459965e-01	2.956969e-01	2.956969e-01
1.919862e+00	2.094395e+00	6.235342e-01	2.854150e-01	2.854150e-01
2.094395e+00	2.268928e+00	9.794950e-01	4.330749e-01	4.330749e-01
2.268928e+00	2.443461e+00	4.872500e-01	2.284263e-01	2.284263e-01
2.443461e+00	2.617994e+00	9.522062e-01	4.210096e-01	4.210096e-01
2.617994e+00	2.792527e+00	8.948801e-01	3.986112e-01	3.986112e-01
2.792527e+00	2.967060e+00	1.625402e-01	8.191257e-02	8.191257e-02
2.967060e+00	3.141593e+00	2.542196e-01	1.252808e-01	1.252808e-01
3.141593e+00	3.316126e+00	3.101215e-01	1.499418e-01	1.499418e-01
3.316126e+00	3.490659e+00	1.205567e+00	5.231547e-01	5.231547e-01
3.490659e+00	3.665191e+00	8.151313e-01	3.660663e-01	3.660663e-01
3.665191e+00	3.839724e+00	2.361047e-01	1.163537e-01	1.163537e-01
3.839724e+00	4.014257e+00	1.037293e+00	4.555322e-01	4.555322e-01
4.014257e+00	4.188790e+00	7.567377e-02	3.916489e-02	3.916489e-02
4.188790e+00	4.363323e+00	3.896832e-01	1.853314e-01	1.853314e-01
4.363323e+00	4.537856e+00	7.902494e-01	3.548922e-01	3.548922e-01
4.537856e+00	4.712389e+00	9.685773e-01	4.282477e-01	4.282477e-01
# END HISTO1D

